relation_id,n_rows,relation,n_updates,n_updated_pairs,n_recurring_pairs,mean_updates_per_pair,max_updates_per_pair,update_share,recurrence
P22,3016,father,77,68,9,1.1323529411764706,2,0.02553050397877984,0.1323529411764706
P39,2968,position held,1063,1062,1,1.0009416195856873,2,0.3581536388140162,0.0009416195856873823
P437,2845,distribution format,90,90,0,1.0,1,0.03163444639718805,0.0
P641,2694,sport,416,407,8,1.0221130221130221,3,0.1544172234595397,0.019656019656019656
P937,2686,work location,61,59,2,1.0338983050847457,2,0.022710349962769917,0.03389830508474576
P1366,2655,replaced by,264,264,0,1.0,1,0.09943502824858758,0.0
P1435,2564,heritage designation,932,931,1,1.0010741138560688,2,0.36349453978159124,0.0010741138560687433
P734,2553,family name,736,732,4,1.005464480874317,2,0.2882882882882883,0.00546448087431694
P5021,2397,assessment,2,2,0,1.0,1,0.0008343763037129745,0.0
P127,2394,owned by,158,156,2,1.0128205128205128,2,0.06599832915622389,0.01282051282051282
P50,2316,author,96,92,4,1.0434782608695652,2,0.04145077720207254,0.043478260869565216
P101,2304,field of work,127,124,3,1.0241935483870968,2,0.055121527777777776,0.024193548387096774
P2758,2288,CNC film rating (France),0,0,0,0.0,0,0.0,0.0
P108,2262,employer,308,306,2,1.0065359477124183,2,0.1361626878868258,0.006535947712418301
P21,2230,sex or gender,176,173,3,1.0173410404624277,2,0.07892376681614349,0.017341040462427744
P159,2221,headquarters location,379,373,6,1.0160857908847185,2,0.17064385411976588,0.0160857908847185
P6104,2126,maintained by WikiProject,6,6,0,1.0,1,0.0028222013170272815,0.0
P972,2126,catalog,467,467,0,1.0,1,0.21966133584195674,0.0
P138,2122,named after,90,90,0,1.0,1,0.04241281809613572,0.0
P7763,2080,copyright status as a creator,2,2,0,1.0,1,0.0009615384615384616,0.0
P156,2061,followed by,133,133,0,1.0,1,0.06453178068898593,0.0
P6886,1971,writing language,57,55,2,1.0363636363636364,2,0.0289193302891933,0.03636363636363636
P793,1962,significant event,40,40,0,1.0,1,0.020387359836901122,0.0
P137,1949,operator,174,174,0,1.0,1,0.08927655207798871,0.0
P364,1922,original language of film or TV show,43,43,0,1.0,1,0.022372528616024973,0.0
P706,1916,located in/on physical feature,17,17,0,1.0,1,0.008872651356993737,0.0
P1433,1870,published in,14,14,0,1.0,1,0.0074866310160427805,0.0
P16,1841,highway system,68,68,0,1.0,1,0.036936447582835416,0.0
P6216,1841,copyright status,3,3,0,1.0,1,0.0016295491580662683,0.0
P8138,1746,located in the statistical territorial entity,23,23,0,1.0,1,0.013172966781214204,0.0
P512,1700,academic degree,100,99,1,1.0101010101010102,2,0.058823529411764705,0.010101010101010102
P6379,1680,has works in the collection,231,231,0,1.0,1,0.1375,0.0
P140,1516,religion,298,289,8,1.0311418685121108,3,0.19656992084432717,0.02768166089965398
P25,1469,mother,42,40,2,1.05,2,0.02859087814840027,0.05
P1001,1469,applies to jurisdiction,44,44,0,1.0,1,0.029952348536419333,0.0
P40,1441,child,243,242,1,1.0041322314049588,2,0.16863289382373353,0.004132231404958678
P551,1378,residence,106,100,6,1.06,2,0.07692307692307693,0.06
P421,1359,located in time zone,19,19,0,1.0,1,0.013980868285504048,0.0
P1454,1331,legal form,234,234,0,1.0,1,0.1758076634109692,0.0
P264,1228,record label,231,230,1,1.0043478260869565,2,0.18811074918566775,0.004347826086956522
P509,1217,cause of death,187,167,20,1.1197604790419162,2,0.15365653245686114,0.11976047904191617
P1196,1209,manner of death,101,97,4,1.041237113402062,2,0.08354011579818031,0.041237113402061855
P175,1195,performer,111,111,0,1.0,1,0.09288702928870293,0.0
P102,1137,member of political party,174,169,5,1.029585798816568,2,0.15303430079155672,0.029585798816568046
P53,1128,family,107,105,2,1.019047619047619,2,0.09485815602836879,0.01904761904761905
P684,1111,ortholog,953,953,0,1.0,1,0.8577857785778578,0.0
P61,1106,discoverer or inventor,19,19,0,1.0,1,0.017179023508137433,0.0
P206,1095,located in or next to body of water,32,32,0,1.0,1,0.029223744292237442,0.0
P527,1088,has part,285,283,2,1.0070671378091873,2,0.2619485294117647,0.007067137809187279
P452,1073,industry,150,150,0,1.0,1,0.13979496738117428,0.0
P84,1061,architect,42,42,0,1.0,1,0.03958529688972667,0.0
P1027,1060,conferred by,13,13,0,1.0,1,0.012264150943396227,0.0
P2453,1013,nominee,18,18,0,1.0,1,0.017769002961500493,0.0
P112,991,founded by,65,60,5,1.0833333333333333,2,0.06559031281533804,0.08333333333333333
P405,983,taxon author,43,42,1,1.0238095238095237,2,0.04374364191251272,0.023809523809523808
P57,968,director,29,29,0,1.0,1,0.029958677685950414,0.0
P1303,854,instrument,42,40,2,1.05,2,0.04918032786885246,0.05
P195,845,collection,54,52,2,1.0384615384615385,2,0.06390532544378698,0.038461538461538464
P282,840,writing system,40,39,1,1.0256410256410255,2,0.047619047619047616,0.02564102564102564
P1192,826,connecting service,66,66,0,1.0,1,0.07990314769975787,0.0
P7938,815,associated electoral district,1,1,0,1.0,1,0.001226993865030675,0.0
P427,781,taxonomic type,3,3,0,1.0,1,0.0038412291933418692,0.0
P2505,774,carries,8,8,0,1.0,1,0.0103359173126615,0.0
P3373,771,sibling,61,59,2,1.0338983050847457,2,0.07911802853437094,0.03389830508474576
P460,769,said to be the same as,87,87,0,1.0,1,0.11313394018205461,0.0
P800,756,notable work,124,124,0,1.0,1,0.164021164021164,0.0
P3156,750,Australian Classification,1,1,0,1.0,1,0.0013333333333333333,0.0
P6,735,head of government,164,161,3,1.0186335403726707,2,0.22312925170068026,0.018633540372670808
P1344,734,participant in,114,113,1,1.008849557522124,2,0.1553133514986376,0.008849557522123894
P485,734,archives at,28,26,2,1.0769230769230769,2,0.03814713896457766,0.07692307692307693
P669,720,located on street,33,33,0,1.0,1,0.04583333333333333,0.0
P397,712,parent astronomical body,3,3,0,1.0,1,0.004213483146067416,0.0
P607,710,conflict,37,36,1,1.0277777777777777,2,0.05211267605633803,0.027777777777777776
P768,710,electoral district,135,135,0,1.0,1,0.19014084507042253,0.0
P410,708,military rank,135,131,4,1.0305343511450382,2,0.1906779661016949,0.030534351145038167
P184,697,doctoral advisor,13,13,0,1.0,1,0.018651362984218076,0.0
P921,682,main subject,50,50,0,1.0,1,0.07331378299120235,0.0
P812,675,academic major,12,12,0,1.0,1,0.017777777777777778,0.0
P196,674,minor planet group,145,145,0,1.0,1,0.21513353115727002,0.0
P449,672,original broadcaster,74,74,0,1.0,1,0.11011904761904762,0.0
P172,667,ethnic group,39,37,2,1.054054054054054,2,0.05847076461769116,0.05405405405405406
P2348,666,time period,45,45,0,1.0,1,0.06756756756756757,0.0
P186,639,made from material,39,37,2,1.054054054054054,2,0.06103286384976526,0.05405405405405406
P466,609,occupant,33,33,0,1.0,1,0.054187192118226604,0.0
P749,606,parent organization,56,56,0,1.0,1,0.0924092409240924,0.0
P4224,602,category contains,18,18,0,1.0,1,0.029900332225913623,0.0
P1365,594,replaces,67,67,0,1.0,1,0.1127946127946128,0.0
P1416,583,affiliation,25,25,0,1.0,1,0.04288164665523156,0.0
P171,578,parent taxon,489,483,5,1.0124223602484472,3,0.8460207612456747,0.010351966873706004
P488,535,chairperson,227,227,0,1.0,1,0.42429906542056073,0.0
P1346,527,winner,23,23,0,1.0,1,0.04364326375711575,0.0
P3364,521,stereoisomer of,41,41,0,1.0,1,0.07869481765834933,0.0
P1066,518,student of,34,33,1,1.0303030303030303,2,0.06563706563706563,0.030303030303030304
P162,502,producer,23,23,0,1.0,1,0.045816733067729085,0.0
P1040,494,film editor,13,13,0,1.0,1,0.02631578947368421,0.0
P1268,485,represents,23,23,0,1.0,1,0.04742268041237113,0.0
P241,485,military branch,43,43,0,1.0,1,0.088659793814433,0.0
P97,484,noble title,175,172,3,1.0174418604651163,2,0.3615702479338843,0.01744186046511628
P5353,483,school district,2,2,0,1.0,1,0.004140786749482402,0.0
P81,481,connecting line,85,85,0,1.0,1,0.17671517671517672,0.0
P176,473,manufacturer,56,56,0,1.0,1,0.11839323467230443,0.0
P183,463,endemic to,39,39,0,1.0,1,0.08423326133909287,0.0
P2094,432,competition class,9,9,0,1.0,1,0.020833333333333332,0.0
P58,422,screenwriter,43,43,0,1.0,1,0.1018957345971564,0.0
P179,421,part of the series,71,71,0,1.0,1,0.16864608076009502,0.0
P86,420,composer,13,13,0,1.0,1,0.030952380952380953,0.0
P5323,409,attested in,1,1,0,1.0,1,0.0024449877750611247,0.0
P4100,409,parliamentary group,12,12,0,1.0,1,0.029339853300733496,0.0
P170,398,creator,31,31,0,1.0,1,0.07788944723618091,0.0
P3450,397,sports season of league or competition,27,27,0,1.0,1,0.06801007556675064,0.0
P4241,394,refine date,0,0,0,0.0,0,0.0,0.0
P177,393,crosses,11,11,0,1.0,1,0.027989821882951654,0.0
P2789,372,connects with,64,61,3,1.0491803278688525,2,0.17204301075268819,0.04918032786885246
P1950,370,second family name in Spanish name,17,14,3,1.2142857142857142,2,0.04594594594594595,0.21428571428571427
P740,356,location of formation,20,20,0,1.0,1,0.056179775280898875,0.0
P54,355,member of sports team,156,155,1,1.0064516129032257,2,0.4394366197183099,0.0064516129032258064
P344,352,director of photography,10,10,0,1.0,1,0.028409090909090908,0.0
P451,352,unmarried partner,30,26,4,1.1538461538461537,2,0.08522727272727272,0.15384615384615385
P3018,346,located in protected area,4,4,0,1.0,1,0.011560693641618497,0.0
P3342,339,significant person,11,11,0,1.0,1,0.032448377581120944,0.0
P5514,337,accredited by,0,0,0,0.0,0,0.0,0.0
P664,337,organizer,27,27,0,1.0,1,0.08011869436201781,0.0
P272,327,production company,23,23,0,1.0,1,0.07033639143730887,0.0
P708,325,diocese,75,74,1,1.0135135135135136,2,0.23076923076923078,0.013513513513513514
P5572,322,expressed in,39,39,0,1.0,1,0.12111801242236025,0.0
P5607,319,located in the ecclesiastical territorial entity,1,1,0,1.0,1,0.003134796238244514,0.0
P144,308,based on,14,14,0,1.0,1,0.045454545454545456,0.0
P47,308,shares border with,35,35,0,1.0,1,0.11363636363636363,0.0
P178,307,developer,23,22,1,1.0454545454545454,2,0.0749185667752443,0.045454545454545456
P9493,305,artist files at,26,26,0,1.0,1,0.08524590163934426,0.0
P5102,305,nature of statement,2,2,0,1.0,1,0.006557377049180328,0.0
P8345,301,media franchise,1,1,0,1.0,1,0.0033222591362126247,0.0
P1441,301,present in work,19,19,0,1.0,1,0.06312292358803986,0.0
P1382,297,partially coincident with,9,8,1,1.125,2,0.030303030303030304,0.125
P2937,296,parliamentary term,29,29,0,1.0,1,0.09797297297297297,0.0
P2564,292,Köppen climate classification,1,1,0,1.0,1,0.003424657534246575,0.0
P135,289,movement,47,45,2,1.0444444444444445,2,0.16262975778546712,0.044444444444444446
P825,288,dedicated to,13,13,0,1.0,1,0.04513888888888889,0.0
P1080,286,from narrative universe,41,41,0,1.0,1,0.14335664335664336,0.0
P4390,279,mapping relation type,0,0,0,0.0,0,0.0,0.0
P400,278,platform,36,36,0,1.0,1,0.12949640287769784,0.0
P1403,276,original combination,3,3,0,1.0,1,0.010869565217391304,0.0
P197,269,adjacent station,165,165,0,1.0,1,0.6133828996282528,0.0
P2936,263,language used,9,9,0,1.0,1,0.034220532319391636,0.0
P1420,258,taxon synonym,29,29,0,1.0,1,0.1124031007751938,0.0
P3179,253,territory overlaps,1,1,0,1.0,1,0.003952569169960474,0.0
P1884,252,hair color,11,11,0,1.0,1,0.04365079365079365,0.0
P413,252,position played on team / speciality,66,66,0,1.0,1,0.2619047619047619,0.0
P2361,252,online service,0,0,0,0.0,0,0.0,0.0
P37,252,official language,24,23,1,1.0434782608695652,2,0.09523809523809523,0.043478260869565216
P4552,249,mountain range,45,45,0,1.0,1,0.18072289156626506,0.0
P802,249,student,57,57,0,1.0,1,0.2289156626506024,0.0
P36,246,capital,27,26,1,1.0384615384615385,2,0.10975609756097561,0.038461538461538464
P5816,243,state of conservation,19,19,0,1.0,1,0.07818930041152264,0.0
P30,241,continent,3,3,0,1.0,1,0.012448132780082987,0.0
P676,239,lyrics by,5,5,0,1.0,1,0.02092050209205021,0.0
P945,239,allegiance,21,21,0,1.0,1,0.08786610878661087,0.0
P703,235,found in taxon,164,164,0,1.0,1,0.6978723404255319,0.0
P658,228,tracklist,38,38,0,1.0,1,0.16666666666666666,0.0
P1340,217,eye color,16,15,1,1.0666666666666667,2,0.07373271889400922,0.06666666666666667
P2341,216,indigenous to,15,15,0,1.0,1,0.06944444444444445,0.0
P91,214,sexual orientation,11,10,1,1.1,2,0.0514018691588785,0.1
P6195,214,funding scheme,0,0,0,0.0,0,0.0,0.0
P5522,213,Unicode block,0,0,0,0.0,0,0.0,0.0
P1071,212,location of creation,11,9,1,1.2222222222222223,3,0.05188679245283019,0.1111111111111111
P105,210,taxon rank,80,78,2,1.0256410256410255,2,0.38095238095238093,0.02564102564102564
P118,209,league,57,57,0,1.0,1,0.2727272727272727,0.0
P765,209,surface played on,6,6,0,1.0,1,0.028708133971291867,0.0
P750,208,distributed by,40,40,0,1.0,1,0.19230769230769232,0.0
P403,207,mouth of the watercourse,29,29,0,1.0,1,0.14009661835748793,0.0
P2389,203,organization directed by the office or position,1,1,0,1.0,1,0.0049261083743842365,0.0
P2747,201,Filmiroda rating,2,2,0,1.0,1,0.009950248756218905,0.0
P3602,201,candidacy in election,22,22,0,1.0,1,0.10945273631840796,0.0
P828,199,has cause,6,6,0,1.0,1,0.03015075376884422,0.0
P1142,198,political ideology,15,15,0,1.0,1,0.07575757575757576,0.0
P1830,197,owner of,41,41,0,1.0,1,0.20812182741116753,0.0
P1050,194,medical condition,11,10,1,1.1,2,0.05670103092783505,0.1
P1056,192,product or material produced,26,26,0,1.0,1,0.13541666666666666,0.0
P511,190,honorific prefix,3,3,0,1.0,1,0.015789473684210527,0.0
P9660,188,not found in,0,0,0,0.0,0,0.0,0.0
P747,187,has edition or translation,31,31,0,1.0,1,0.1657754010695187,0.0
P1327,187,partner in business or sport,9,9,0,1.0,1,0.0481283422459893,0.0
P5056,184,patronym or matronym for this person,4,4,0,1.0,1,0.021739130434782608,0.0
P66,182,ancestral home,2,2,0,1.0,1,0.01098901098901099,0.0
P190,182,twinned administrative body,24,24,0,1.0,1,0.13186813186813187,0.0
P8956,181,compatible with,0,0,0,0.0,0,0.0,0.0
P541,176,office contested,8,8,0,1.0,1,0.045454545454545456,0.0
P355,176,subsidiary,55,55,0,1.0,1,0.3125,0.0
P3716,172,social classification,14,14,0,1.0,1,0.08139534883720931,0.0
P3025,169,open days,1,1,0,1.0,1,0.005917159763313609,0.0
P237,169,coat of arms,11,11,0,1.0,1,0.0650887573964497,0.0
P286,165,head coach,78,76,2,1.0263157894736843,2,0.4727272727272727,0.02631578947368421
P275,162,copyright license,30,30,0,1.0,1,0.18518518518518517,0.0
P1535,162,used by,4,4,0,1.0,1,0.024691358024691357,0.0
P1376,161,capital of,32,32,0,1.0,1,0.19875776397515527,0.0
P547,160,commemorates,5,5,0,1.0,1,0.03125,0.0
P126,160,maintained by,12,12,0,1.0,1,0.075,0.0
P803,156,professorship,3,3,0,1.0,1,0.019230769230769232,0.0
P306,155,operating system,6,6,0,1.0,1,0.03870967741935484,0.0
P3005,153,valid in place,0,0,0,0.0,0,0.0,0.0
P971,152,category combines topics,3,3,0,1.0,1,0.019736842105263157,0.0
P115,150,home venue,15,14,1,1.0714285714285714,2,0.1,0.07142857142857142
P6872,142,has written for,5,5,0,1.0,1,0.035211267605633804,0.0
P7779,139,member of military unit,3,3,0,1.0,1,0.02158273381294964,0.0
P618,138,source of energy,2,2,0,1.0,1,0.014492753623188406,0.0
P483,138,recorded at studio or venue,1,1,0,1.0,1,0.007246376811594203,0.0
P2974,137,habitat,0,0,0,0.0,0,0.0,0.0
P289,137,vessel class,0,0,0,0.0,0,0.0,0.0
P1037,134,director / manager,34,33,1,1.0303030303030303,2,0.2537313432835821,0.030303030303030304
P2541,130,operating area,8,8,0,1.0,1,0.06153846153846154,0.0
P161,128,cast member,23,23,0,1.0,1,0.1796875,0.0
P737,124,influenced by,5,5,0,1.0,1,0.04032258064516129,0.0
P150,122,contains administrative territorial entity,79,79,0,1.0,1,0.6475409836065574,0.0
P2817,121,appears in the heritage monument list,2,2,0,1.0,1,0.01652892561983471,0.0
P910,121,topic's main category,10,10,0,1.0,1,0.08264462809917356,0.0
P141,120,IUCN conservation status,15,13,1,1.1538461538461537,3,0.125,0.07692307692307693
P710,120,participant,17,17,0,1.0,1,0.14166666666666666,0.0
P8423,118,version control system,5,5,0,1.0,1,0.0423728813559322,0.0
P2632,118,place of detention,6,6,0,1.0,1,0.05084745762711865,0.0
P559,118,terminus,40,40,0,1.0,1,0.3389830508474576,0.0
P1434,117,takes place in fictional universe,18,18,0,1.0,1,0.15384615384615385,0.0
P88,117,commissioned by,1,1,0,1.0,1,0.008547008547008548,0.0
P840,116,narrative location,23,22,1,1.0454545454545454,2,0.19827586206896552,0.045454545454545456
P2360,116,intended public,3,3,0,1.0,1,0.02586206896551724,0.0
P2596,115,culture,15,15,0,1.0,1,0.13043478260869565,0.0
P3938,115,named by,1,1,0,1.0,1,0.008695652173913044,0.0
P169,114,chief executive officer,33,33,0,1.0,1,0.2894736842105263,0.0
P7888,114,merged into,1,1,0,1.0,1,0.008771929824561403,0.0
P3871,113,tributary orientation,1,1,0,1.0,1,0.008849557522123894,0.0
P2715,111,elected in,23,23,0,1.0,1,0.2072072072072072,0.0
P915,110,filming location,4,4,0,1.0,1,0.03636363636363636,0.0
P404,109,game mode,1,1,0,1.0,1,0.009174311926605505,0.0
P4614,109,drainage basin,21,21,0,1.0,1,0.1926605504587156,0.0
P3335,108,associated hazard,0,0,0,0.0,0,0.0,0.0
P611,107,religious order,12,12,0,1.0,1,0.11214953271028037,0.0
P1387,103,political alignment,18,17,1,1.0588235294117647,2,0.17475728155339806,0.058823529411764705
P1875,101,represented by,5,5,0,1.0,1,0.04950495049504951,0.0
P5304,101,type locality (biology),0,0,0,0.0,0,0.0,0.0
P516,98,powered by,6,6,0,1.0,1,0.061224489795918366,0.0
P3032,98,adjacent building,7,7,0,1.0,1,0.07142857142857142,0.0
P2554,96,production designer,3,3,0,1.0,1,0.03125,0.0
P748,94,appointed by,2,2,0,1.0,1,0.02127659574468085,0.0
P2079,92,fabrication method,1,1,0,1.0,1,0.010869565217391304,0.0
P6275,92,copyright representative,0,0,0,0.0,0,0.0,0.0
P4101,91,dissertation submitted to,1,1,0,1.0,1,0.01098901098901099,0.0
P1064,91,track gauge,1,1,0,1.0,1,0.01098901098901099,0.0
P8411,91,set in environment,1,1,0,1.0,1,0.01098901098901099,0.0
P4908,90,season,0,0,0,0.0,0,0.0,0.0
P1542,90,has effect,4,4,0,1.0,1,0.044444444444444446,0.0
P2848,90,Wi-Fi access,11,11,0,1.0,1,0.12222222222222222,0.0
P2388,90,office held by head of the organization,1,1,0,1.0,1,0.011111111111111112,0.0
P157,89,killed by,0,0,0,0.0,0,0.0,0.0
P5606,86,station class,0,0,0,0.0,0,0.0,0.0
P287,84,designed by,8,7,1,1.1428571428571428,2,0.09523809523809523,0.14285714285714285
P2650,84,interested in,2,2,0,1.0,1,0.023809523809523808,0.0
P8001,84,endorsed by,0,0,0,0.0,0,0.0,0.0
P707,82,satellite bus,7,7,0,1.0,1,0.08536585365853659,0.0
P121,81,item operated,9,9,0,1.0,1,0.1111111111111111,0.0
P4969,80,derivative work,20,20,0,1.0,1,0.25,0.0
P2579,80,studied by,6,6,0,1.0,1,0.075,0.0
P8453,79,public transport stop,2,2,0,1.0,1,0.02531645569620253,0.0
P2515,78,costume designer,4,4,0,1.0,1,0.05128205128205128,0.0
P1408,78,licensed to broadcast to,2,2,0,1.0,1,0.02564102564102564,0.0
P414,77,stock exchange,6,6,0,1.0,1,0.07792207792207792,0.0
P674,77,characters,9,9,0,1.0,1,0.11688311688311688,0.0
P4791,76,commanded by,4,4,0,1.0,1,0.05263157894736842,0.0
P3279,76,statistical leader,4,4,0,1.0,1,0.05263157894736842,0.0
P837,75,day in year for periodic occurrence,7,7,0,1.0,1,0.09333333333333334,0.0
P1399,75,convicted of,20,20,0,1.0,1,0.26666666666666666,0.0
P8047,74,country of registry,6,6,0,1.0,1,0.08108108108108109,0.0
P1321,74,place of origin (Switzerland),0,0,0,0.0,0,0.0,0.0
P2842,73,place of marriage,2,2,0,1.0,1,0.0273972602739726,0.0
P371,73,presenter,11,11,0,1.0,1,0.1506849315068493,0.0
P2416,71,sports discipline competed in,5,5,0,1.0,1,0.07042253521126761,0.0
P1313,70,office held by head of government,5,5,0,1.0,1,0.07142857142857142,0.0
P790,70,approved by,1,1,0,1.0,1,0.014285714285714285,0.0
P2674,70,next crossing downstream,0,0,0,0.0,0,0.0,0.0
P1596,69,penalty,2,2,0,1.0,1,0.028985507246376812,0.0
P2673,68,next crossing upstream,1,1,0,1.0,1,0.014705882352941176,0.0
P98,65,editor,3,3,0,1.0,1,0.046153846153846156,0.0
P7374,64,educational stage,0,0,0,0.0,0,0.0,0.0
P1877,63,after a work by,0,0,0,0.0,0,0.0,0.0
P9566,62,diel cycle,0,0,0,0.0,0,0.0,0.0
P1383,61,contains settlement,11,11,0,1.0,1,0.18032786885245902,0.0
P522,59,type of orbit,4,4,0,1.0,1,0.06779661016949153,0.0
P92,59,main regulatory text,2,2,0,1.0,1,0.03389830508474576,0.0
P6087,57,coach of sports team,5,5,0,1.0,1,0.08771929824561403,0.0
P859,57,sponsor,2,2,0,1.0,1,0.03508771929824561,0.0
P1923,57,participating team,9,9,0,1.0,1,0.15789473684210525,0.0
P408,55,software engine,3,3,0,1.0,1,0.05454545454545454,0.0
P1424,54,topic's main template,11,11,0,1.0,1,0.2037037037037037,0.0
P885,53,origin of the watercourse,5,4,1,1.25,2,0.09433962264150944,0.25
P425,53,field of this occupation,6,6,0,1.0,1,0.11320754716981132,0.0
P2354,52,has list,7,7,0,1.0,1,0.1346153846153846,0.0
P193,52,main building contractor,3,3,0,1.0,1,0.057692307692307696,0.0
P797,52,authority,1,1,0,1.0,1,0.019230769230769232,0.0
P4913,52,dialect of,5,5,0,1.0,1,0.09615384615384616,0.0
P1049,51,worshipped by,2,2,0,1.0,1,0.0392156862745098,0.0
P2756,51,EIRIN film rating,0,0,0,0.0,0,0.0,0.0
P9215,51,set during recurring event,0,0,0,0.0,0,0.0,0.0
P9680,51,consequence of text,0,0,0,0.0,0,0.0,0.0
P1072,50,readable file format,6,6,0,1.0,1,0.12,0.0
P841,49,feast day,35,31,4,1.1290322580645162,2,0.7142857142857143,0.12903225806451613
P1657,48,MPAA film rating,0,0,0,0.0,0,0.0,0.0
P3919,48,contributed to creative work,2,2,0,1.0,1,0.041666666666666664,0.0
P3085,47,qualifies for event,0,0,0,0.0,0,0.0,0.0
P610,47,highest point,1,1,0,1.0,1,0.02127659574468085,0.0
P2499,47,league level above,3,3,0,1.0,1,0.06382978723404255,0.0
P725,46,voice actor,4,4,0,1.0,1,0.08695652173913043,0.0
P655,46,translator,3,3,0,1.0,1,0.06521739130434782,0.0
P1201,46,space tug,6,6,0,1.0,1,0.13043478260869565,0.0
P2813,46,house publication,3,3,0,1.0,1,0.06521739130434782,0.0
P4584,46,first appearance,4,4,0,1.0,1,0.08695652173913043,0.0
P908,46,PEGI rating,4,4,0,1.0,1,0.08695652173913043,0.0
P9899,45,music created for,0,0,0,0.0,0,0.0,0.0
P2522,45,victory,11,11,0,1.0,1,0.24444444444444444,0.0
P3712,45,objective of project or action,4,3,1,1.3333333333333333,2,0.08888888888888889,0.3333333333333333
P1347,44,military casualty classification,2,2,0,1.0,1,0.045454545454545456,0.0
P8327,43,intended subject of deprecated statement,1,1,0,1.0,1,0.023255813953488372,0.0
P5028,43,sound designer,0,0,0,0.0,0,0.0,0.0
P110,43,illustrator,0,0,0,0.0,0,0.0,0.0
P1654,42,wing configuration,0,0,0,0.0,0,0.0,0.0
P608,42,exhibition history,6,6,0,1.0,1,0.14285714285714285,0.0
P532,42,port of registry,8,8,0,1.0,1,0.19047619047619047,0.0
P8031,42,perpetrator,0,0,0,0.0,0,0.0,0.0
P462,42,color,4,4,0,1.0,1,0.09523809523809523,0.0
P129,41,physically interacts with,1,1,0,1.0,1,0.024390243902439025,0.0
P1308,41,officeholder,21,21,0,1.0,1,0.5121951219512195,0.0
P5769,41,editor-in-chief,1,1,0,1.0,1,0.024390243902439025,0.0
P1411,40,nominated for,6,6,0,1.0,1,0.15,0.0
P552,40,handedness,0,0,0,0.0,0,0.0,0.0
P467,40,legislated by,0,0,0,0.0,0,0.0,0.0
P2500,40,league level below,17,17,0,1.0,1,0.425,0.0
P3842,39,located in present-day administrative territorial entity,2,2,0,1.0,1,0.05128205128205128,0.0
P852,39,ESRB rating,5,4,1,1.25,2,0.1282051282051282,0.25
